case_id,case_title,crime_type,status,date_registered
CASE_0001,Operation Thunder-001,Homicide,Open,2025-01-19
CASE_0002,Operation Eclipse-002,Homicide,Cold,2023-09-25
CASE_0003,Operation Viper-003,Hawala Money Laundering,Open,2022-07-23
CASE_0004,Operation Viper-004,Narcotics Trafficking,Cold,2024-01-23
CASE_0005,Operation Eclipse-005,Cyber Fraud,Under Investigation,2025-07-26
CASE_0006,Operation Thunder-006,Extortion,Cold,2022-04-06
CASE_0007,Operation Viper-007,Cyber Fraud,Open,2022-07-13
CASE_0008,Operation Trident-008,Arms Smuggling,Closed,2021-05-05
CASE_0009,Operation Blackout-009,Homicide,Chargesheet Filed,2024-04-12
CASE_0010,Operation Thunder-010,Cyber Fraud,Chargesheet Filed,2023-03-03
CASE_0011,Operation Blackout-011,Homicide,Under Investigation,2023-02-08
CASE_0012,Operation Thunder-012,Extortion,Under Investigation,2024-11-03
CASE_0013,Operation Blackout-013,Narcotics Trafficking,Under Investigation,2021-11-06
CASE_0014,Operation Trident-014,Narcotics Trafficking,Open,2021-05-27
CASE_0015,Operation Falcon-015,Cyber Fraud,Cold,2025-05-15
CASE_0016,Operation Falcon-016,Extortion,Chargesheet Filed,2024-07-16
CASE_0017,Operation Eclipse-017,Cyber Fraud,Open,2021-08-18
CASE_0018,Operation Thunder-018,Narcotics Trafficking,Cold,2023-06-25
CASE_0019,Operation Eclipse-019,Narcotics Trafficking,Under Investigation,2022-04-15
CASE_0020,Operation Viper-020,Narcotics Trafficking,Closed,2023-02-22
CASE_0021,Operation Eclipse-021,Arms Smuggling,Under Investigation,2023-09-17
CASE_0022,Operation Eclipse-022,Narcotics Trafficking,Cold,2021-11-13
CASE_0023,Operation Trident-023,Extortion,Under Investigation,2025-03-10
CASE_0024,Operation Thunder-024,Homicide,Chargesheet Filed,2023-02-16
CASE_0025,Operation Trident-025,Cyber Fraud,Cold,2022-07-19
CASE_0026,Operation Trident-026,Narcotics Trafficking,Chargesheet Filed,2023-06-18
CASE_0027,Operation Trident-027,Extortion,Open,2024-03-13
CASE_0028,Operation Trident-028,Hawala Money Laundering,Chargesheet Filed,2023-03-21
CASE_0029,Operation Blackout-029,Homicide,Cold,2022-08-21
CASE_0030,Operation Trident-030,Homicide,Open,2022-08-31
CASE_0031,Operation Trident-031,Arms Smuggling,Chargesheet Filed,2023-07-28
CASE_0032,Operation Thunder-032,Narcotics Trafficking,Chargesheet Filed,2025-04-10
CASE_0033,Operation Blackout-033,Hawala Money Laundering,Closed,2023-10-25
CASE_0034,Operation Falcon-034,Arms Smuggling,Cold,2021-03-06
CASE_0035,Operation Trident-035,Narcotics Trafficking,Chargesheet Filed,2024-03-18
CASE_0036,Operation Blackout-036,Homicide,Chargesheet Filed,2021-08-10
CASE_0037,Operation Blackout-037,Arms Smuggling,Under Investigation,2024-10-24
CASE_0038,Operation Thunder-038,Arms Smuggling,Closed,2022-07-19
CASE_0039,Operation Thunder-039,Hawala Money Laundering,Under Investigation,2022-05-12
CASE_0040,Operation Blackout-040,Homicide,Chargesheet Filed,2024-07-10
CASE_0041,Operation Trident-041,Arms Smuggling,Under Investigation,2024-11-06
CASE_0042,Operation Thunder-042,Hawala Money Laundering,Chargesheet Filed,2022-06-14
CASE_0043,Operation Trident-043,Arms Smuggling,Closed,2022-04-23
CASE_0044,Operation Falcon-044,Hawala Money Laundering,Open,2024-05-25
CASE_0045,Operation Viper-045,Cyber Fraud,Open,2022-03-17
CASE_0046,Operation Blackout-046,Extortion,Open,2024-02-21
CASE_0047,Operation Blackout-047,Homicide,Under Investigation,2022-04-14
CASE_0048,Operation Blackout-048,Arms Smuggling,Open,2021-08-10
CASE_0049,Operation Viper-049,Hawala Money Laundering,Under Investigation,2021-05-11
CASE_0050,Operation Trident-050,Cyber Fraud,Chargesheet Filed,2023-09-09
CASE_0051,Operation Eclipse-051,Homicide,Closed,2024-06-03
CASE_0052,Operation Trident-052,Hawala Money Laundering,Under Investigation,2024-12-10
CASE_0053,Operation Eclipse-053,Homicide,Under Investigation,2024-06-23
CASE_0054,Operation Trident-054,Cyber Fraud,Chargesheet Filed,2022-07-13
CASE_0055,Operation Falcon-055,Hawala Money Laundering,Cold,2021-08-25
CASE_0056,Operation Viper-056,Homicide,Chargesheet Filed,2025-05-18
CASE_0057,Operation Falcon-057,Homicide,Closed,2023-11-22
CASE_0058,Operation Falcon-058,Extortion,Under Investigation,2021-11-29
CASE_0059,Operation Trident-059,Homicide,Closed,2021-05-06
CASE_0060,Operation Falcon-060,Arms Smuggling,Closed,2025-07-19
CASE_0061,Operation Trident-061,Homicide,Under Investigation,2021-07-19
CASE_0062,Operation Eclipse-062,Narcotics Trafficking,Under Investigation,2022-04-17
CASE_0063,Operation Falcon-063,Extortion,Open,2024-03-02
CASE_0064,Operation Eclipse-064,Arms Smuggling,Closed,2021-12-16
CASE_0065,Operation Eclipse-065,Arms Smuggling,Closed,2022-04-23
CASE_0066,Operation Thunder-066,Cyber Fraud,Cold,2025-07-23
CASE_0067,Operation Thunder-067,Hawala Money Laundering,Chargesheet Filed,2021-01-27
CASE_0068,Operation Falcon-068,Cyber Fraud,Open,2025-07-08
CASE_0069,Operation Viper-069,Arms Smuggling,Closed,2025-07-28
CASE_0070,Operation Falcon-070,Hawala Money Laundering,Chargesheet Filed,2023-08-08
CASE_0071,Operation Trident-071,Homicide,Open,2021-05-13
CASE_0072,Operation Thunder-072,Extortion,Closed,2025-04-11
CASE_0073,Operation Thunder-073,Hawala Money Laundering,Closed,2025-02-01
CASE_0074,Operation Trident-074,Arms Smuggling,Closed,2023-10-14
CASE_0075,Operation Eclipse-075,Hawala Money Laundering,Cold,2023-05-26
CASE_0076,Operation Thunder-076,Homicide,Chargesheet Filed,2022-01-04
CASE_0077,Operation Blackout-077,Hawala Money Laundering,Under Investigation,2022-11-08
CASE_0078,Operation Viper-078,Homicide,Under Investigation,2021-12-14
CASE_0079,Operation Blackout-079,Extortion,Cold,2022-03-26
CASE_0080,Operation Trident-080,Narcotics Trafficking,Under Investigation,2022-07-23
CASE_0081,Operation Falcon-081,Arms Smuggling,Open,2021-05-22
CASE_0082,Operation Viper-082,Extortion,Closed,2023-02-25
CASE_0083,Operation Blackout-083,Extortion,Open,2023-05-25
CASE_0084,Operation Eclipse-084,Hawala Money Laundering,Closed,2021-12-14
CASE_0085,Operation Falcon-085,Hawala Money Laundering,Closed,2024-10-19
CASE_0086,Operation Trident-086,Hawala Money Laundering,Closed,2023-05-13
CASE_0087,Operation Blackout-087,Homicide,Closed,2021-10-27
CASE_0088,Operation Eclipse-088,Extortion,Closed,2022-09-11
CASE_0089,Operation Falcon-089,Homicide,Closed,2021-03-03
CASE_0090,Operation Falcon-090,Extortion,Cold,2024-08-04
CASE_0091,Operation Thunder-091,Narcotics Trafficking,Under Investigation,2021-01-07
CASE_0092,Operation Falcon-092,Narcotics Trafficking,Chargesheet Filed,2022-09-04
CASE_0093,Operation Eclipse-093,Extortion,Closed,2023-11-12
CASE_0094,Operation Trident-094,Cyber Fraud,Cold,2022-08-09
CASE_0095,Operation Falcon-095,Narcotics Trafficking,Chargesheet Filed,2021-05-25
CASE_0096,Operation Viper-096,Extortion,Chargesheet Filed,2023-01-29
CASE_0097,Operation Blackout-097,Extortion,Closed,2021-01-06
CASE_0098,Operation Viper-098,Cyber Fraud,Under Investigation,2024-07-22
CASE_0099,Operation Blackout-099,Extortion,Closed,2021-07-14
